InChiKey,drug_code,drug_name,SMILES
CXQHYVUVSFXTMY-UHFFFAOYSA-N,GSK-1363089,Foretinib,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1
CGBJSGAELGCMKE-UHFFFAOYSA-N,GSK-2126458,Omipalisib,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
ZHJGWYRLJUCMRT-QGZVFWFLSA-N,GSK-461364,,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
KKYABQBFGDZVNQ-UHFFFAOYSA-N,GSK-AHAB,Losmapimod,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1
KTBSXLIQKWEBRB-UHFFFAOYSA-N,INCB-039110,Itacitinib,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1
GYLDXIAOMVERTK-UHFFFAOYSA-N,INK-128,Sapanisertib,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21
ZGBAJMQHJDFTQJ-DEOSSOPVSA-N,INNO-406,Bafetinib,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
JRWCBEOAFGHNNU-UHFFFAOYSA-N,JNJ-38877605,,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1
YYLKKYCXAOBSRM-JXMROGBWSA-N,KW-2449,,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
BIIVYFLTOXDAOV-YVEFUNNKSA-N,L-868275,Alvocidib,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
HRJWTAWVFDCTGO-UHFFFAOYSA-N,LY-2090314,,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2
IVRXNBXKWIJUQB-UHFFFAOYSA-N,LY-2157299,Galunisertib,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1
AXRCEOKUDYDWLF-UHFFFAOYSA-N,LY-317615,Enzastaurin,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
ZCBUQCWBWNUWSU-SFHVURJKSA-N,LY-333531,Ruboxistaurin,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
JGEBLDKNWBUGRZ-HXUWFJFHSA-N,MK-2461,,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1
VMJFTOSOFDEKTM-UHFFFAOYSA-N,MK-8033,,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1
GMIZZEXBPRLVIV-SECBINFHSA-N,MK-8776,,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1
UXXQOJXBIDBUAC-UHFFFAOYSA-N,MLN-518,Tandutinib,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
HHFBDROWDBDFBR-UHFFFAOYSA-N,MLN-8054,,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
ZLHFILGSQDJULK-UHFFFAOYSA-N,MLN-8237,Alisertib,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O
PMJIHLSCWIDGMD-UHFFFAOYSA-N,NP-12,Tideglusib,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1
PKCDDUHJAFVJJB-VLZXCDOPSA-N,OSI-906,Linsitinib,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
FGTCROZDHDSNIO-UHFFFAOYSA-N,OSI-930,Thiophenib,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12
YULUCECVQOCQFQ-UHFFFAOYSA-N,OSU-03012,,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1
VGEXRDWWPSGZDH-UHFFFAOYSA-N,PF-03715455,,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1
PDMUGYOXRHVNMO-UHFFFAOYSA-N,PF-04217903,,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1
XDLYKKIQACFMJG-WKILWMFISA-N,PF-04691502,,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1
AYCPARAPKDAOEN-LJQANCHMSA-N,PF-3758309,,Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1
MZDKLVOWGIOKTN-UHFFFAOYSA-N,PF-562271,,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,PH-797804,,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
WXUUCRLKXQMWRY-UHFFFAOYSA-N,PKI-179,,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cc1
UOVCGJXDGOGOCZ-UHFFFAOYSA-N,R-1530,,COc1cc2c(cc1F)C(c1ccccc1Cl)=Nc1c(n[nH]c1C)N2
JRNJNYBQQYBCLE-UHFFFAOYSA-N,R-547,,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N
YABJJWZLRMPFSI-UHFFFAOYSA-N,RAF-265,,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21
IJDQETGUEUJVTB-HNNXBMFYSA-N,RO-3201195,,Nc1c(C(=O)c2cccc(OC[C@@H](O)CO)c2)cnn1-c1ccc(F)cc1
JYYLVUFNAHSSFE-UHFFFAOYSA-N,RO-4402257,Pamapimod,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21
QSUSKMBNZQHHPA-UHFFFAOYSA-N,RWJ-67657,,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1
PIMQWRZWLQKKBJ-SFHVURJKSA-N,SCH-727965 ,Dinaciclib,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
ZMELOYOKMZBMRB-DLBZAZTESA-N,SCIO-469,Talmapimod,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c1cc2c(C(=O)C(=O)N(C)C)cn(C)c2cc1Cl
CATQHDWESBRRQA-UHFFFAOYSA-N,SD-06,,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1
BCZUAADEACICHN-UHFFFAOYSA-N,SGX-523,,Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
OUSFTKFNBAZUKL-UHFFFAOYSA-N,SNS-032,,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
CTNPALGJUAXMMC-PMFHANACSA-N,SU-14813,,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1
WUWDLXZGHZSWQZ-WQLSENKSSA-N,SU-5416,Semaxanib,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
QNUKRWAIZMBVCU-WCIBSUBMSA-N,SU-9516,,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2
ZYQXEVJIFYIBHZ-UHFFFAOYSA-N,TAK-285,,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
HEKAIDKUDLCBRU-UHFFFAOYSA-N,TAK-715,,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
GWRSATNRNFYMDI-UHFFFAOYSA-N,TAK-960,,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C
NHFDRBXTEDBWCZ-ZROIWOOFSA-N,TSU-68,Orantinib,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
ASUGUQWIHMTFJL-QGZVFWFLSA-N,VX-509,Decernotinib,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F
FYSRKRZDBHOFAY-UHFFFAOYSA-N,VX-702,,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F
VEPKQEUBKLEPRA-UHFFFAOYSA-N,VX-745,Neflamapimod,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
HOZUXBLMYUPGPZ-UHFFFAOYSA-N,WHI-P131,JANEX-1,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC
FYJROXRIVQPKRY-UHFFFAOYSA-N,YN-968D1,Apatinib,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1
VOVZXURTCKPRDQ-CQSZACIVSA-N,ABL-001,Asciminib,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
WDENQIQQYWYTPO-IBGZPJMESA-N,ACP-196,Acalabrutinib,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12
AILRADAXUVEEIR-UHFFFAOYSA-N,AP-26113,Brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
GYQYAJJFPNQOOW-UHFFFAOYSA-N,ASP-2215,Gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
CYOHGALHFOKKQC-UHFFFAOYSA-N,AZD-6244,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
DUYJMQONPNNFPI-UHFFFAOYSA-N,AZD-9291,Osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
FNHKPVJBJVTLMP-UHFFFAOYSA-N,BAY-73-4506,Regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
USNRYVNRPYXCSP-JUGPPOIOSA-N,BIBW-2992,Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
DWYRIWUZIJHQKQ-SANMLTNESA-N,BLU-285,Avapritinib,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
GBLBJPZSROAGMF-RWYJCYHVSA-N,BLU-667,Pralsetinib,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,BMS-354825,Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
BZZKEPGENYLQSC-FIBGUPNXSA-N,BMS-986165,Deucravacitinib,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
CEFJVGZHQAGLHS-UHFFFAOYSA-N,DCC-2618,Ripretinib,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21
AHYMHWXQRWRBKT-UHFFFAOYSA-N,EMD-1214063,Tepotinib,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1
BSMCAPRUBJMWDF-KRWDZBQOSA-N,GDC-0973,Cobimetinib,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1
XNRVGTHNYCNCFF-UHFFFAOYSA-N,GW-572016,Lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
JWNPDZNEKVCWMY-VQHVLOKHSA-N,HKI-272,Neratinib,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
LIOLIMKSCNQPLV-UHFFFAOYSA-N,INC-280,Capmatinib,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F
JFMWPOCYMYGEDM-XFULWGLBSA-N,INCB-018424,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
HCDMJFOHIXMBOV-UHFFFAOYSA-N,INCB-054828,Pemigatinib,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21
HUNGUWOZPQBXGX-UHFFFAOYSA-N,KX2-391,Tirbanibulin,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1
VERWOWGGCGHDQE-UHFFFAOYSA-N,LDK-378,Ceritinib,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1
RHXHGRAEPCAFML-UHFFFAOYSA-N,LEE-011,Ribociclib,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,LGX-818,Encorafenib,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1
UZWDCWONPYILKI-UHFFFAOYSA-N,LY-2835219,Abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
XUZMWHLSFXCVMG-UHFFFAOYSA-N,LY-3009104,Baricitinib,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
XIIOFHFUYBLOLW-UHFFFAOYSA-N,LY-3527723,Selpercatinib,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1
ACWZRVQXLIRSDF-UHFFFAOYSA-N,MEK-162,Binimetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21
SDEAXTCZPQIFQM-UHFFFAOYSA-N,ONT-380,Tucatinib,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1
GTTBEUCJPZQMDZ-UHFFFAOYSA-N,OSI-774,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
XYFPWWZEPKGCCK-GOSISDBHSA-N,PCI-32765,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
AHJRHEGDXFFMBM-UHFFFAOYSA-N,PD-0332991,Palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
LVXJQMNHJWSHET-AATRIKPKSA-N,PF-00299804,Dacomitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1
KTEIFNKAUNYNJU-GFCCVEGCSA-N,PF-02341066,Crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
IUEWXNHSKRWHDY-PHIMTYICSA-N,PF-04965842,Abrocitinib,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1
IIXWYSCJSQVBQM-LLVKDONJSA-N,PF-06463922,Lorlatinib,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21
BMGQWWVMWDBQGC-IIFHNQTCSA-N,PKC-412,Midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
JGWRKYUXBBNENE-UHFFFAOYSA-N,PLX-3397,Pexidartinib,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
GPXBXXGIAQBQNI-UHFFFAOYSA-N,PLX-4032,Vemurafenib,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
GKDRMWXFWHEQQT-UHFFFAOYSA-N,R-788,Fostamatinib,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC
HAYYBYPASCDWEQ-UHFFFAOYSA-N,RXDX-101,Entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1
HWXVIOGONBBTBY-ONEGZZNKSA-N,SB-1518,Pacritinib,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2
UBPYILGKFZZVDX-UHFFFAOYSA-N,SKI-606,Bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
GKHIVNAUVKXIIY-UHFFFAOYSA-N,SLx-2119,Belumosudil,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1
YLMAHDNUQAMNNX-UHFFFAOYSA-N,STI-571,Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
LBWFXVZLPYTWQI-IPOVEDGCSA-N,SU-11248,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
JOOXLOJCABQBSG-UHFFFAOYSA-N,TG-101348,Fedratinib,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
HFCFMRYTXDINDK-WNQIDUERSA-N,XL-184,Cabozantinib,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
XGALLCVXEZPNRQ-UHFFFAOYSA-N,ZD-1839,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
WYQFJHHDOKWSHR-MNOVXSKESA-N,ABT-494,Upadacitinib,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12
UHTHHESEBZOYNR-UHFFFAOYSA-N,ZD-6474,Vandetanib,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
RITAVMQDGBJQJZ-FMIVXFBMSA-N,AG-013736,Axitinib,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
HHZIURLSWUIHRB-UHFFFAOYSA-N,AMN-107,Nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
PHXJVRSECIGDHY-UHFFFAOYSA-N,AP-24534,Ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
AZSRSNUQCUDCGG-UHFFFAOYSA-N,AP-32788,Mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
OURRXQUGYQRVML-AREMUKBSSA-N,AR-13324,Netarsudil,Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1
NYNZQNWKBKUAII-KBXCAEBGSA-N,ARRY-470,Larotrectinib,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
SPMVMDHWKHCIDT-UHFFFAOYSA-N,ASP-4130,Tivozanib,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
QFJCIRLUMZQUOT-HPLJOQBZSA-N,AY-22989,Sirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
JDUBGYFRJFOXQC-KRWDZBQOSA-N,AZD-5363,Capivasertib,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1
MLDQJTXFUGDVEO-UHFFFAOYSA-N,BAY-43-9006,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
RNOAOAWBMHREKO-QFIPXVFZSA-N,BGB-3111,Zanubrutinib,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1
QADPYRIHXKWUSV-UHFFFAOYSA-N,BGJ-398,Infigratinib,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1
XZXHXSATPCNXJR-ZIADKAODSA-N,BIBF-1120,Nintedanib,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1
CBPNZQVSJQDFBE-FUXHJELOSA-N,CCI-779,Temsirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CH-5424802,Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
UJLAWZDWDVHWOW-YPMHNXCESA-N,CP-690,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
WOSKHXYHFSIKNG-UHFFFAOYSA-N,E-7080,Lenvatinib,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O
PDGKHKMBHVFCMG-UHFFFAOYSA-N,G1T-28,Trilaciclib,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,GSK-1120212,Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
BFSMGDJOXZAERB-UHFFFAOYSA-N,GSK-2118436,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
CUIHSIWYWATEQL-UHFFFAOYSA-N,GW-786034,Pazopanib,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O
BALLNEJQLSTPIO-UHFFFAOYSA-N,HMPL-013,Fruquintinib,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12
OLAHOMJCDNXHFI-UHFFFAOYSA-N,JNJ-42756493,Erdafitinib,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1
FWZAWAUZXYCBKZ-NSHDSACASA-N,LY-3527727,Pirtobrutinib,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1
CBRJPFGIXUFMTM-WDEREUQCSA-N,PF-06651600,Ritlecitinib,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
HKVAMNSJSFKALM-GKUWKFKPSA-N,RAD-001,Everolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
KEIPNCCJPRMIAX-HNNXBMFYSA-N,TAS-120,Futibatinib,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1
FIKPXCOQUIZNHB-WDEREUQCSA-N,TPX-0005,Repotrectinib,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1
STUWGJZDJHPWGZ-LBPRGKRZSA-N,BYL-719,Alpelisib,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
XXJXHXJWQSCNPX-UHFFFAOYSA-N,IDE-196,Darovasertib,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3ncccc3C(F)(F)F)cnc2N)CC1
SJVQHLPISAIATJ-ZDUSSCGKSA-N,INK-1147,Duvelisib,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
IFSDAJWBUCMOAH-HNNXBMFYSA-N,CAL-101,Idelalisib,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
SGEUNORSOZVTOL-CABZTGNLSA-N,GDC-0077,Inavolisib,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O
