InChiKey,drug_code,drug_name,SMILES
BVAHPPKGOOJSPU-UHFFFAOYSA-N,GSK-2256098,,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl
FDMQDKQUTRLUBU-UHFFFAOYSA-N,HM-61713,Olmutinib,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1
LZMJNVRJMFMYQS-UHFFFAOYSA-N,HM-71224,Poseltinib,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1
BNVPFDRNGHMRJS-UHFFFAOYSA-N,JNJ-40346527,Edicotinib,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1
VOYMOBPSYVKQGF-UHFFFAOYSA-N,L-21649,,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1
FYXRSVDHGLUMHB-UHFFFAOYSA-N,LY-2584702,,Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1
SYYBDNPGDKKJDU-ZDUSSCGKSA-N,LY-2603618,Rabusertib,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1
SQSZANZGUXWJEA-UHFFFAOYSA-N,LY-2784544,Gandotinib,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1
QHADVLVFMKEIIP-UHFFFAOYSA-N,LY-2801653,Merestinib,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1
HXAUJHZZPCBFPN-QGZVFWFLSA-N,M-2698,,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12
YRCHYHRCBXNYNU-UHFFFAOYSA-N,MG-90265X,Glesatinib,COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1
BKWJAKQVGHWELA-UHFFFAOYSA-N,MK-1775,Adavosertib,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
LCVIRAZGMYMNNT-UHFFFAOYSA-N,MK-5108,,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
KPQQGHGDBBJGFA-QNGWXLTQSA-N,MK-8353,,CS[C@@]1(C(=O)Nc2ccc3[nH]nc(-c4ccc(OC(C)C)nc4)c3c2)CCN(CC(=O)N2CC=C(c3ccc(-c4ncn(C)n4)cc3)CC2)C1
