Compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,ALK3_BMPR1A,ALK6_BMPR1B,BMPR2,CDC7_DBF4,CDK15_CYCLIN_A2,CDK15_CYCLIN_B1,CDK19_CYCLIN_C,CDK1_CYCLIN_E,CDK2_CYCLIN_A1,CDK2_CYCLIN_E2,CDK2_CYCLIN_O,CDK3_CYCLIN_C,CDK3_CYCLIN_E2,CDK4_CYCLIN_D2,CDK6_CYCLIN_D2,CDK8_CYCLIN_C,CDK9_CYCLIN_T2,CK1A1L,DCAMKL1,DCAMKL3,DDR1,DLK_MAP3K12,DMPK2,DNA_PK,EEF2K,EIF2AK1,EIF2AK2,EIF2AK3,EIF2AK4,ERK5_MAPK7,ERK7_MAPK15,ERN1_IRE1,ERN2_IRE2,GLK_MAP4K3,GRK1,HPK1_MAP4K1,KSR1,KSR2,LATS1,LATS2,LCK2_ICK,LIMK2,MAK,MAST3,MASTL,MEK3,MEK5,MEKK1,MEKK6,MKK4,MKK7,MLK4,MTOR_FRAP1,MYLK3,MYLK4,MYO3A,NEK5,NEK8,NIM1,PDK1_PDHK1,PDK2_PDHK2,PDK3_PDHK3,PDK4_PDHK4,PEAK1,PKACB,PKMYT1,PKMZETA,PKN3_PRK3,PLK4_SAK,RIPK3,RIPK4,SBK1,SIK1,SIK3,SNRK,SSTK_TSSK6,STK21_CIT,STK32A_YANK1,STK32B_YANK2,STK32C_YANK3,STK35_CLIK1,STK38L_NDR2,TESK1,TESK2,TLK1,TNIK,TNK1,TRPM7_CHAK1,TSSK3_STK22C,TSSK4,TTBK1,TTBK2,VRK2,WNK1,YSK4_MAP3K19,AMPK(A1_B1_G1),AMPK(A1_B1_G2),AMPK(A1_B1_G3),AMPK(A1_B2_G1),AMPK(A1_B2_G2),AMPK(A1_B2_G3),AMPK(A2_B1_G1),AMPK(A2_B1_G2),AMPK(A2_B1_G3),AMPK(A2_B2_G1),AMPK(A2_B2_G2),AMPK(A2_B2_G3),CDK14_CYCLIN_Y(PFTK1),CDK16_CYCLIN_Y(PCTAIRE),CDK17_CYCLIN_Y(PCTK2),CDK18_CYCLIN_Y(PCTK3),ABL1(E255K),ABL1(E255V),ABL1(F317I),ABL1(F317L),ABL1(G250E),ABL1(H396P),ABL1(M351T),ABL1(Q252H),ABL1(T315I),ABL1(V299L),ABL1(Y245F),ABL1(Y245F_Y412F),ABL1(Y253F),ABL1(Y253H),AKT1(E17K),AKT2(E17K),AKT3(E17K),AKT3(G171R),ALK(C1156Y),ALK(F1174L),ALK(F1174L)_EML4,ALK(F1174L)_NPM1,ALK(F1174S),ALK(G1202R),ALK(G1269A),ALK(G1269S),ALK(I1171N_D1203N),ALK(L1152R),ALK(L1196M),ALK(L1196M_G1202R),ALK(R1275Q),ALK(S1206R),ALK(T1151M),ALK(T1151_L1152INST),ALK2(Q207D),ALK2(R206H),ALK_EML4(EEX13AEX20),ALK_EML4(EEX14AEX20),ALK_EML4(EEX20AEX20),ALK_EML4(EEX6AEX20),ALK_KIF5B(KEX24AEX20),ALK_KLC1(KEX8AEX20),ALK_NPM1,ALK_STRN(SEX3AEX20),ALK_TFG,ALK_TFG(TEX4AEX20),ALK_TPM1,ALK_TPM3,AURORA_B(G160L),AXL(R499C),BRAF(D485_489_P490Y),BRAF(G464V),BRAF(G469A),BRAF(K601E),BRAF(L597V),BRAF(R506_K507INSVLR),BRAF(T599_V600INST),BRAF(V599E),BRAF(V600A),BRAF(V600D),BRAF(V600K),BRAF_FAM131B(FEX2BEX9),BRAF_KIAA1549(KEX15BEX9),BRAF_KIAA1549(KEX16BEX9),BRAF_SRGAP3(SEX12BEX9),BTK(C481S),BTK(E41K),BTK(P190K),BTK(T474I),BTK(Y485F),CHK2(I157T),CK1A1(E42C),CK1A1(I35C),CK1EPSILON(R178C),C_KIT(A829P),C_KIT(D557_558),C_KIT(D557_558_Y823D),C_KIT(D816E),C_KIT(D816F),C_KIT(D816H),C_KIT(D816I),C_KIT(D816V),C_KIT(D816Y),C_KIT(D820E),C_KIT(D820Y),C_KIT(K642E),C_KIT(N822K),C_KIT(T670I),C_KIT(V559A),C_KIT(V559D),C_KIT(V559D_T670I),C_KIT(V559D_V654A),C_KIT(V560G),C_KIT(V560G_D816V),C_KIT(V560G_N822K),C_KIT(V654A),C_KIT(Y823D),C_MER(A708S),C_MET(D1213H),C_MET(D1228A),C_MET(D1228G),C_MET(D1228H),C_MET(D1228N),C_MET(D1228V),C_MET(D1228Y),C_MET(DELEX14),C_MET(F1200I),C_MET(G1163R),C_MET(H1094L),C_MET(H1094Y),C_MET(K1244R),C_MET(L1195F),C_MET(L1195V),C_MET(M1250I),C_MET(M1250T),C_MET(P991S),C_MET(R1227K),C_MET(R970C),C_MET(T1173I),C_MET(T992I),C_MET(V1092I),C_MET(Y1230A),C_MET(Y1230C),C_MET(Y1230D),C_MET(Y1230H),C_MET(Y1230S),C_MET(Y1235D),C_MET_KIF5B(KEX24MEX14),C_MET_TFG(TEX5MEX15),C_SRC(T341M),C_SRC(Y530F),DDR2(N456S),DDR2(T654M),EGFR(A763_Y764INSFHEA),EGFR(A763_Y764INSFQEA),EGFR(A767_S768INSTLA),EGFR(C775S_T790M_L858R),EGFR(C797A),EGFR(C797G_L858R),EGFR(C797S),EGFR(C797S_L858R),EGFR(D746),EGFR(D746_750),EGFR(D746_750_C775S_T790M_L858R),EGFR(D746_750_C797A),EGFR(D746_750_C797S),EGFR(D746_750_G724S),EGFR(D746_750_S768I),EGFR(D746_750_T790M),EGFR(D746_750_T790M_C797S),EGFR(D746_750_T790M_C797S_L858R),EGFR(D746_750_T790M_L792F),EGFR(D746_750_T790M_L792H),EGFR(D746_750_T790M_L798I),EGFR(D746_750_T790M_L858R),EGFR(D747_749),EGFR(D747_749_A750P),EGFR(D747_752_P753S),EGFR(D752_759),EGFR(D761Y),EGFR(D770GY),EGFR(D770_N771INSG),EGFR(D770_N771INSNPG),EGFR(D770_N771INSNPG_T790M),EGFR(G719C),EGFR(G719D),EGFR(G719S),EGFR(K716A),EGFR(K716A_C797S_L858R),EGFR(K716A_T790M_C797S_L858R),EGFR(K716Q_L718Q),EGFR(K728A),EGFR(K728A_T790M_C797S_L858R),EGFR(L718Q),EGFR(L747S),EGFR(L792F),EGFR(L792F_L858R),EGFR(L792H),EGFR(L792H_C797S_L858R),EGFR(L792H_L858R),EGFR(L858R),EGFR(L858R_T790M),EGFR(L861Q),EGFR(N771_P772INSH),EGFR(N771_P772INSN),EGFR(R999A),EGFR(S768I),EGFR(T790M),EGFR(T790M_C797G_L858R),EGFR(T790M_C797S),EGFR(T790M_C797S_L858R),EGFR(T790M_L792F_C797S_L858R),EGFR(T790M_L792F_L858R),EGFR(T790M_L792H_C797S_L858R),EGFR(T790M_L792H_L858R),EGFR(V769_D770INSGE),EGFR(V948R),ERBB2(A775_G776INSYVMA),ERBB2(D769H),ERBB2(D769Y),ERBB2(P1170A),ERBB2(P780_Y781INSGSP),ERBB2(R896C),ERBB2(V777L),ERBB2(V777_G778INSCG),ERBB2(V956R),ERN1_IRE1(R727A),ERN1_IRE1(R727A_R728A),ERN1_IRE1(R728A),FGFR1(V561M),FGFR1(W666R),FGFR1OP_FGFR1,FGFR2(C491A),FGFR2(C491A_V564I),FGFR2(C491A_V564L),FGFR2(C491F),FGFR2(C491S),FGFR2(C491S_V564L),FGFR2(E565A),FGFR2(E565G),FGFR2(K526E),FGFR2(K641R),FGFR2(K659N),FGFR2(M420I),FGFR2(N549H),FGFR2(N549K),FGFR2(R612T),FGFR2(V564F),FGFR2(V564I),FGFR2(V564L),FGFR3(G697C),FGFR3(K650E),FGFR3(K650M),FGFR3(K650Q),FGFR3(V555M),FGFR4(N535K),FGFR4(V550E),FGFR4(V550L),FGFR4(V550M),FLT3(D835Y),FLT3(F594_R595INSR),FLT3(F594_R595INSREY),FLT3(F691L_D835Y),FLT3(ITD),FLT3(ITD)_NPOS,FLT3(ITD)_W51,FLT3(R595_E596INSEY),FLT3(Y591_V592INSVDFREYEYD),FLT3(Y591_V592INSVDFREYEYD_D835Y),FLT3(Y591_V592INSVDFREYEYD_F691L),FYN(Y531F),GSK3B(C199A),JAK2(V617F),KSR1(A635F),KSR1(L639F),KSR2(R676S),LRRK2(G2019S),LRRK2(I2020T),LRRK2(R1441C),MEK1(P124L),MELK(T460M),P38A(T106M),PAK2(Y443N),PDGFRA(D842V),PDGFRA(G680R),PDGFRA(T674I),PDGFRA(V561D),PDGFRA_FIP1L1,PDGFRB_TPM3,PKA(L206R),PKA_DNAJB1,PKD2(G870E),PKD2_PRKD2(G848E),PKN1_ANXA4(AEX2PEX13),PKN1_TECR(TEX1PEX10),RAF1(R391W),RET(A883F),RET(E732K),RET(E762Q),RET(G691S),RET(G810C),RET(G810R),RET(G810S),RET(G810S_M918T),RET(L730I),RET(L730M),RET(L790F),RET(M918T),RET(R749T),RET(R813Q),RET(R912P),RET(S891A),RET(S904A),RET(S904F),RET(V738A),RET(V778I),RET(V804E),RET(V804L),RET(V804L)_KIF5B,RET(V804M),RET(V804M)_KIF5B,RET(V804M_G810S),RET(Y791F),RET(Y806C),RET(Y806H),RET(Y806N),RET_BCR,RET_CCDC6(PTC1),RET_KIF5B(KEX15REX14),RET_NCOA4(PTC3),RET_PRKAR1A(PTC2),ROS1(G2032R),ROS1(G2101A),ROS1(G2101C),ROS1(L2086F),ROS1_GOPC,ROS1_TPM3,RSK2(I416V),RSK2(L608F),TIE2(A1124V),TIE2(P883A),TIE2(R849W),TIE2(R915C),TIE2(Y1108F),TIE2(Y897C),TIE2(Y897H),TIE2(Y897H_R915C),TIE2(Y897S),TRKA(A608D),TRKA(F589L),TRKA(G595R),TRKA(G595R_A608D),TRKA(G595R_G667A),TRKA(G595R_G667C),TRKA(G595R_G667S),TRKA(G595R_L657M),TRKA(G667C),TRKA(G667S),TRKA(L657M),TRKA_TFG(TRK_T3),TRKA_TPM3,TRKA_TPR,TRKC(G623E),TRKC(G623R),TRKC(G623R_L686M),TRKC(G696A),TRKC(L686M),YES1(T348I),ZAP70(Y319F)
Abemaciclib,84.496,86.382,93.966,92.509,88.553,100,80.519,98.489,100,95.554,100,55.772,61.041,92.942,90.898,92.247,96.029,84.379,98.634,99.394,75.622,95.824,100,93.728,95.962,85.443,79.477,71.157,86.702,89.808,91.035,65.861,61.684,0.31,1.382,1.392,17.95,90.882,47.315,15.18,43.718,37.787,5.897,35.184,38.019,0.798,0,20.424,24.063,0.703,1.307,56.899,3.727,2.776,88.152,92.2,100,71.066,84.828,91.361,72.122,82.926,56.813,10.442,0.534,3.86,100,3.54,92.29,91.456,92.861,73.617,48.369,65.506,74.008,94.956,88.632,2.319,1.128,2.859,0,78.288,73.059,87.229,92.874,95.922,90.505,93.827,88.214,91.932,98.291,92.445,100,100,100,91.804,87.492,91.789,93.279,74.771,100,74.46,98.306,96.343,98.862,98.779,98.52,100,21.786,81.45,46.935,98.551,91.008,67.686,100,100,93.231,100,89.594,97.584,2.789,3.531,11.133,94.84,44.714,16.363,1.83,7.741,40.175,82.681,51.736,89.999,68.539,82.755,1.665,98.775,93.574,100,100,98.672,68.7,35.243,74.203,25.589,96.916,75.162,91.856,91.831,97.204,27.545,20.868,91.796,99.975,98.394,95.556,92.652,91.587,88.3,82.687,88.384,100,84.497,93.669,100,80.338,20.743,100,61.387,63.219,73.349,76.325,71.628,58.715,73.112,31.17,25.202,37.18,100,97.433,100,89.568,70.804,100,44.257,64.573,86.875,88.939,93.819,85.519,28.612,100,96.148,99.002,100,87.374,94.433,100,97.609,95.708,81.455,95.271,94.412,87.443,89.261,98.541,95.699,89.392,11.733,91.579,89.522,81.492,100,8.58,95.036,1.196,51.571,0.037,88.658,83.191,12.024,62.131,37.895,21.507,14.902,36.056,26.563,86.402,14.829,13.916,70.581,95.453,25.228,76.984,81.743,86.622,59.021,75.554,89.346,100,97.554,90.007,42.744,100,100,59.257,91.181,58.114,63.408,94.946,18.95,100,85.14,72.148,77.574,42.085,42.329,82.681,93.926,81.13,38.8,93.862,99.513,97.009,5.384,51.022,77.329,24.46,65.626,29.475,100,66.874,21.49,22.711,65.503,78.301,90.904,100,94.782,62.161,78.222,96.003,29.567,97.449,95.229,77.316,99.405,68.883,71.913,84.503,84.184,83.36,100,96.802,93.093,76.422,100,100,32.479,97.32,100,45.222,24.274,,,21.395,45.394,6.026,37.168,7.629,,37.921,,,22.658,0.968,100,82.114,,49.275,76.726,6.752,95.99,92.179,100,10.025,95.118,75.554,93.975,3.305,53.296,87.018,79.788,81.375,57.886,98.777,88.277,73.355,83.887,3.745,95.955,4.253,,90.595,68.835,95.117,95.913,92.616,52.804,100,100,82.282,82.865,32.726,67.08,92.566,100,48.177,93.114,91.261,100,100,89.666,75.437,20.134,95.47,87.847,58.324,91.684,100,98.415,92.886,96.252,98.033,96.302,38.826,,100,91.849,,72.907,93.298,96.207,87.685,20.731,79.1,90.658,83.867,,87.334,94.702,93.699,97.893,30.382,78.365,74.758,67.383,70.577,77.112,75.308,56.094,62.305,56.376,54.973,49.387,58.013,31.246,7.284,14.864,13.298,88.72,96.565,100,91.55,84.985,99.58,94.225,100,57.495,90.66,96.925,85.95,85.795,97.505,98.72,100,100,95.755,79.245,84.93,87.605,93.915,78.385,92.51,72.58,92.065,99.96,72.14,94.825,100,89.215,92.905,88.525,94.86,100,100,92.92,81.86,88.535,83.8,83.98,90.92,88.495,80.52,81.685,93.35,83.07,85.085,96.675,85.685,88.87,91.295,96.685,91.05,74.095,100,92.255,96.01,87.58,90.175,65.02,89.68,87.785,95.21,93.44,100,100,99.205,91.585,95.04,100,93.995,100,100,96.66,100,95.84,99.22,100,98.025,96.745,97.96,98.08,100,99.545,,98.51,90.445,97.34,100,97.465,100,95.405,91.08,100,100,96.93,79.035,74.34,84.76,86.025,72.51,82.485,80.62,62.33,71.02,88.925,94.52,100,92.58,78.06,60.33,95.5,71.03,88.995,73.53,59.065,59.535,68.85,72.79,86.025,83.89,78.44,76.855,78.91,80.94,58.515,61.2,82.935,83.45,91.925,89.325,69.365,94.135,98.255,100,90.135,89.16,100,83.5,93.87,100,92.92,70.425,88.655,97.335,100,89.24,79.795,53.73,47.255,71.03,92.845,70.375,37.32,97.57,87.855,98.085,100,96.265,97.57,92.64,99.38,82.875,94.96,100,100,91.985,77.475,41.91,97.86,89.455,68.645,99.79,96.65,92.02,99.565,97.92,95.785,98.505,79.065,58.135,96.17,96.88,100,98.625,92.875,87.655,67.745,78.855,94.325,86.25,92.31,96.99,100,100,95.82,90.295,98.34,99.26,100,92.485,100,94.495,100,100,94.555,92.965,84.965,96.335,94.06,94.64,94.715,98.645,94.625,96.69,96.365,95.79,94.715,94.95,99.01,94.195,98.555,93.74,98.88,99.31,96.315,89.525,100,100,97.95,92.545,100,100,95.68,96.04,100,100,97.515,25.93,43.375,49.22,80.515,27.735,54.45,41.74,56.09,48.76,32.365,79.265,96.845,29.88,100,,,,21.9,38.86,64.075,86,90.64,93.32,99.74,100,100,98.72,100,100,80.63,100,100,44.195,39.82,45.83,74.25,93.83,90.095,98.08,93.745,98.07,93.815,98.03,100,100,100,98.385,88.405,100,97.62,100,99.08,100,99.13,96.965,100,90.735,95.465,97.905,100,98.635,100,99.785,97.255,98.1,100,99.41,100,100,100,96.57,94.58,92.865,14.25,20.16,18.415,31.92,34.665,88.475,85.77,92.555,85.505,82.57,100,95.135,99.25,96.725,100,97.855,100,85.06,96.67,100,100,100,94.855,98.705,48.845,47.815,90.995,50.105,72.49,69.285,99.17,92.5,96.94,65.92,85.695,55.12,91.255
Abrocitinib,87.86,84.065,96.715,95.52,98.065,98.22,87.81,97.275,78.05,86.49,94.42,94.78,87.21,76.005,44.355,70.55,45.5,88.865,100,88.805,100,100,89.795,78.655,97.1,100,100,84.73,93.07,92.775,94.655,86.695,71.86,99.035,94.795,82.27,100,75.5,95.45,94.995,89.84,88.32,91.03,83.43,86.08,87.955,83.685,92.655,86.87,99.255,100,85.72,98.66,89.715,100,92.31,88.105,100,93.76,100,100,100,90.205,100,67.89,85.815,99.295,71.2,77.8,100,91.825,88.715,81.35,94.275,90.925,100,92.96,95.865,100,94.985,89.325,100,97.925,91.145,100,96.785,95.71,88.615,92.715,100,100,100,95.6,93.65,97,97.19,91.38,93.66,100,79.155,90.995,91.37,94.155,95.59,90.085,92.98,86.915,87.16,66.795,87.725,90.865,100,90.485,74.73,83.92,89.045,100,94.2,84.171,94.12,95.82,89.97,83.86,96.05,99.015,94.87,100,99.26,86.34,95.83,100,88.175,85.435,87.965,93.65,100,84.095,100,1.325,7.365,48.945,100,100,87.81,97.065,98.75,82.49,90.155,94.195,83.46,37.89,82.48,97.62,92.63,96.35,98.02,93.52,92.83,82.53,67.22,68.22,79.985,100,94.845,85.585,100,100,93.89,84.565,82.96,79.23,85.265,99.515,95.21,100,88.83,94.39,100,99.815,89.17,71.2,82.53,100,97.335,96.735,98.265,100,92.765,92.365,100,100,86.35,89.665,93.49,87.06,92.58,100,94.85,100,81.64,100,98.055,100,100,100,98.025,100,68.895,100,88.965,98.45,94.285,97.69,94.465,97.49,98.18,95.995,62.245,73.35,86.63,92.64,80.85,70.39,92.36,73.77,77.995,95.01,94.18,90.525,93.6,94.19,81.945,94.99,82.755,89.825,90.715,83.56,87.36,100,94.27,98,100,88.535,68.72,90.34,91.155,70.585,73.43,93.185,73.135,77.355,84.565,76.765,75.59,95.41,99.305,98.565,70.06,86.12,100,98.955,52.145,93.835,85.265,85.895,95.425,88.12,52.26,71.77,94.79,65.34,100,100,89.065,100,100,100,97.295,85.615,94.905,74.42,89.455,90.39,91.335,77.42,10.125,100,82.365,93.42,74.78,77.335,,97.74,83.315,80.695,96.15,100,91.055,92.585,100,64.205,100,99.185,92.3,,77.81,98.125,94.78,93.325,82.605,94.325,100,100,,71.035,89.08,94.385,,84.66,,42.685,89.39,100,100,95.35,97.865,95.985,95.465,99.35,96.915,98.405,78.85,100,89.225,91.465,96.65,70.355,87.295,82.03,87.95,100,100,97.165,100,96.155,100,85.015,92.595,99.635,99.87,100,94.255,49.955,78.485,84.5,,97.215,99.405,90.695,94.515,100,,65.215,,100,88.46,87.45,,100,98.48,87.5,74.51,85.595,93.445,92.955,,100,93.81,,69.9,98.12,93.145,93.405,92.75,97.22,100,95.92,,100,94.45,93.82,86.835,100,100,89.625,97.67,100,98.575,100,93.86,94.615,91.95,100,100,100,98.125,100,87.455,96.67,100,100,100,100,89.32,96.55,92.56,86.87,100,100,100,85.3,97.69,90.8,96.285,96.795,97.05,87.45,77.91,87.81,88.295,94.615,93.6,99.055,88.53,99.88,,87.595,88.855,91.045,85.805,89.735,92.845,100,100,100,90.23,97.31,97.89,84.12,88.095,92.815,91.54,100,91.05,87.33,83.455,97.215,78.02,90.115,89.985,99.36,97.555,100,98.495,92.615,100,96.095,100,100,100,100,98.195,100,100,100,96.5,100,100,90.73,93.71,92.095,83.75,98.72,82.32,90.625,84.74,93.56,71.315,91.625,85.375,86.265,88.345,89.98,96.385,,83.52,89.545,82.415,83.945,89.515,94.15,93.235,73.57,91.705,99.315,100,97.615,,100,100,100,100,100,97.085,83.73,100,100,91.43,93.745,98.4,87.675,100,98.07,100,100,,97.095,100,100,98.43,91.508,100,85.295,98.38,100,96.74,89.93,100,79.17,94.56,100,100,93.005,97.38,95.675,95.19,98.175,92.97,100,100,100,100,100,96.725,98.715,95.295,91.14,100,92.75,91.865,96.21,100,97.615,100,98.055,100,91.15,100,100,96.89,87.755,98.31,100,96.375,96.27,100,99.525,90.81,87.88,100,98.155,96.28,92.715,100,100,95.235,91.865,90.92,100,95.405,100,90.435,93.5,99.585,96.38,95.03,100,93.295,97.285,98.855,100,100,90.02,97.43,100,97.15,100,97.485,96.75,90.48,95.32,92.36,92.76,91.42,100,100,92.195,100,97.345,93.425,100,99.16,93.95,85.68,90.32,100,93.66,87.335,85.04,99.8,91.805,100,97.63,100,94.91,96.02,82.335,94.62,87.475,98.22,87.945,93.815,97.445,88.58,98.925,100,97.67,100,62.47,74.275,81.695,78.295,61.7,77.22,84.81,83.745,91.875,76.17,86.35,100,,29.555,90.085,92.93,100,38.655,68.31,75.35,56.14,84.21,100,100,100,100,78.575,100,86.47,80.49,78.91,65.765,98.68,100,80.375,80.86,90.105,60.865,87.185,98.415,93.255,96,100,86.03,,99.79,94.345,73.82,86.05,91.045,85.49,89.7,99.375,97.48,90.96,95.47,77.63,55.73,76.295,89.99,54.995,91.635,,98.125,97.57,91.225,100,89.15,89.05,91.915,87.755,89.435,100,86.275,100,93.295,89.275,90.97,90.02,71.775,100,100,100,96.92,99.3,96.765,93.48,95.57,97.87,100,87.905,100,87.895,100,100,96.5,93.465,89.985,73.845,99.1,69.875,94.195,78.615,100,92.81,88.85,99.16,100,93.515,100
